2028594156	2026477660	699013	1	10	教育栏目0.1元按次	30	02	1	20131114114220	0			21320010	教育栏目0.1元按次			20160824
2028594158	2026477662	699013	7	0	健康栏目免费	30	02	1	20131114114512	0			21410000	健康栏目免费			20160824
2028594290	2026477754	699010	0	0	央广视讯体验包	30	01	1	20131114114244	0			30410001	央广视讯体验包			20160824
2028594510	2026477794	699013	0	0	旅游栏目体验包	30	01	1	20131114113324	0			30410029	旅游栏目体验包			20160824
2028594746	2026478030	699013	1	90	娱乐栏目0.9元按次九折	30	02	5	20131224134349	0			20420009	娱乐栏目0.9元按次九折			20160824
2028594757	2026478041	699013	1	90	法制栏目0.9元按次九折	30	02	5	20131224134447	0			20520121	法制栏目0.9元按次九折			20160824
2028594761	2026478045	699013	1	270	纪录片栏目2.7元按次九折	30	02	5	20131224134507	0			20820121	纪录片栏目2.7元按次九折			20160824
2028594778	2026478062	699032	1	180	手机视频CBSi1.8元按次九折	30	02	5	20131224134636	0			20820315	手机视频CBSi1.8元按次九折			20160824
2028594786	2026478070	699034	1	270	手机视频中影2.7元按次九折	30	02	5	20131224134719	0			20220321	手机视频中影2.7元按次九折			20160824
2028594790	2026478074	699035	1	270	手机视频迪士尼2.7元按次九折	30	02	5	20131224134739	0			20720121	手机视频迪士尼2.7元按次九折			20160824
2028594803	2026478087	699013	1	9	手机视频教育栏目0.09元按次九折	30	02	5	20131224134847	0			21320016	手机视频教育栏目0.09元按次九折			20160824
2028594817	2026478101	699009	1	90	中投视讯0.9元按次九折	30	02	5	20131224151242	0			30320009	中投视讯0.9元按次九折			20160824
2028594828	2026478112	699013	1	180	引流搞笑按次2元九折	30	02	5	20131224151341	0			20320015	引流搞笑按次2元九折			20160824
2028594837	2026478121	699013	1	180	手机视频动漫栏目1.8元按次九折	30	02	5	20131224151428	0			20720015	手机视频动漫栏目1.8元按次九折			20160824
2028594846	2026478130	699013	1	45	时尚栏目0.45元按次九折	30	02	5	20131224151514	0			20420127	时尚栏目0.45元按次九折			20160824
2028594848	2026478132	699013	1	180	法制栏目1.8元按次九折	30	02	5	20131224151524	0			20520127	法制栏目1.8元按次九折			20160824
2028594881	2026478165	699013	1	90	新闻栏目0.9元按次九折	30	02	5	20131226120317	0			20020009	新闻栏目0.9元按次九折			20160824
